,Approach/dataset,Architecture,ACC,SPE,SEN,TN,TP,FN,FP
0,patients_wise_split_svd_no_duplicities,yolov8n-cls.pt,0.696969696969697,0.632,0.7353497164461248,395.0,778.0,280.0,230.0
1,patients_wise_split_svd_no_duplicities,yolov8s-cls.pt,0.6898395721925134,0.625615763546798,0.7262569832402235,381.0,780.0,294.0,228.0
2,patients_wise_split_svd_no_duplicities,yolov8m-cls.pt,0.6963755199049316,0.6164772727272727,0.7538304392236976,434.0,738.0,241.0,270.0
3,patients_wise_split_svd_no_duplicities,yolov8l-cls.pt,0.7100415923945336,0.6258411843876177,0.776595744680851,465.0,730.0,210.0,278.0
4,patients_wise_split_svd_no_duplicities,yolov8x-cls.pt,0.691027926322044,0.6470588235294118,0.7110726643598616,341.0,822.0,334.0,186.0
5,patients_wise_split_svd_with_duplicities,yolov8n-cls.pt,0.7013888888888888,0.6,0.7348284960422163,300.0,1114.0,402.0,200.0
6,patients_wise_split_svd_with_duplicities,yolov8s-cls.pt,0.7033730158730159,0.5878378378378378,0.7514044943820225,348.0,1070.0,354.0,244.0
7,patients_wise_split_svd_with_duplicities,yolov8m-cls.pt,0.7008928571428571,0.5964912280701754,0.7365269461077845,306.0,1107.0,396.0,207.0
8,patients_wise_split_svd_with_duplicities,yolov8l-cls.pt,0.6994047619047619,0.5888888888888889,0.7398373983739838,318.0,1092.0,384.0,222.0
9,patients_wise_split_svd_with_duplicities,yolov8x-cls.pt,0.7093253968253969,0.5941558441558441,0.76,366.0,1064.0,336.0,250.0
10,patients_wise_split_voiced,yolov8n-cls.pt,0.6990740740740741,0.8888888888888888,0.6908212560386473,8.0,143.0,64.0,1.0
11,patients_wise_split_voiced,yolov8s-cls.pt,0.7129629629629629,0.8125,0.705,13.0,141.0,59.0,3.0
12,patients_wise_split_voiced,yolov8m-cls.pt,0.6712962962962963,0.5555555555555556,0.6763285024154589,5.0,140.0,67.0,4.0
13,patients_wise_split_voiced,yolov8l-cls.pt,0.6944444444444444,0.5882352941176471,0.7142857142857143,20.0,130.0,52.0,14.0
14,patients_wise_split_voiced,yolov8x-cls.pt,0.7083333333333334,0.7368421052631579,0.7055837563451777,14.0,139.0,58.0,5.0
15,segmentation_leakage_random_segment_of_each_recording_svd,yolov8n-cls.pt,0.980635551142006,0.9709302325581395,0.9856711915535445,668.0,1307.0,19.0,20.0
16,segmentation_leakage_random_segment_of_each_recording_svd,yolov8s-cls.pt,0.9905660377358491,0.9926253687315634,0.9895209580838323,673.0,1322.0,14.0,5.0
17,segmentation_leakage_random_segment_of_each_recording_svd,yolov8m-cls.pt,0.993545183714002,0.9898255813953488,0.995475113122172,681.0,1320.0,6.0,7.0
18,segmentation_leakage_random_segment_of_each_recording_svd,yolov8l-cls.pt,0.9920556107249255,0.9912152269399708,0.9924868519909842,677.0,1321.0,10.0,6.0
19,segmentation_leakage_random_segment_of_each_recording_svd,yolov8x-cls.pt,0.9950347567030785,0.9912917271407837,0.9969811320754717,683.0,1321.0,4.0,6.0
