,scenario,size,val_acc,val_uar,val_tp,val_fp,val_tn,val_fn,test_acc,test_uar,test_tp,test_fp,test_tn,test_fn
0,svd_scenario_1,yolov8n-cls.pt,0.9919759277833501,0.9894166124484927,1302.0,13.0,676.0,3.0,0.55,0.5505050505050505,6.0,4.0,5.0,5.0
1,svd_scenario_1,yolov8s-cls.pt,0.9979939819458375,0.9970717423133235,1311.0,4.0,679.0,0.0,0.6,0.6041666666666667,7.0,3.0,5.0,5.0
2,svd_scenario_1,yolov8m-cls.pt,0.9994984954864594,0.9992647058823529,1314.0,1.0,679.0,0.0,0.55,0.554945054945055,7.0,3.0,4.0,6.0
3,svd_scenario_1,yolov8l-cls.pt,0.9994984954864594,0.9992647058823529,1314.0,1.0,679.0,0.0,0.55,0.5505050505050505,6.0,4.0,5.0,5.0
4,svd_scenario_1,yolov8x-cls.pt,0.9994984954864594,0.9992647058823529,1314.0,1.0,679.0,0.0,0.6,0.6041666666666667,7.0,3.0,5.0,5.0
5,svd_scenario_2,yolov8n-cls.pt,0.9859578736208626,0.9833895602036435,1298.0,17.0,668.0,11.0,0.6,0.6041666666666667,7.0,3.0,5.0,5.0
6,svd_scenario_2,yolov8s-cls.pt,0.9939819458375125,0.9929564627082836,1308.0,7.0,674.0,5.0,0.55,0.554945054945055,7.0,3.0,4.0,6.0
7,svd_scenario_2,yolov8m-cls.pt,0.993480441323972,0.9922294095558257,1307.0,8.0,674.0,5.0,0.6,0.6041666666666667,7.0,3.0,5.0,5.0
8,svd_scenario_2,yolov8l-cls.pt,0.9954864593781344,0.994801459396544,1310.0,5.0,675.0,4.0,0.55,0.554945054945055,7.0,3.0,4.0,6.0
9,svd_scenario_2,yolov8x-cls.pt,0.9954864593781344,0.994457880337601,1309.0,6.0,676.0,3.0,0.5,0.5,6.0,4.0,4.0,6.0
10,svd_scenario_3,yolov8n-cls.pt,0.9854563691073219,0.9824145104306771,1293.0,19.0,672.0,10.0,0.55,0.554945054945055,7.0,3.0,4.0,6.0
11,svd_scenario_3,yolov8s-cls.pt,0.993480441323972,0.9929290624758851,1306.0,6.0,675.0,7.0,0.55,0.554945054945055,7.0,3.0,4.0,6.0
12,svd_scenario_3,yolov8m-cls.pt,0.9949849548645938,0.9947757185065806,1308.0,4.0,676.0,6.0,0.6,0.6041666666666667,7.0,3.0,5.0,5.0
13,svd_scenario_3,yolov8l-cls.pt,0.9949849548645938,0.9940873175304674,1306.0,6.0,678.0,4.0,0.6,0.6041666666666667,7.0,3.0,5.0,5.0
14,svd_scenario_3,yolov8x-cls.pt,0.9929789368104313,0.9922003522637866,1305.0,7.0,675.0,7.0,0.6,0.6041666666666667,7.0,3.0,5.0,5.0
15,svd_scenario_4,yolov8n-cls.pt,0.752,0.720555994036657,1261.0,119.0,243.0,377.0,0.6,0.6190476190476191,8.0,2.0,4.0,6.0
16,svd_scenario_4,yolov8s-cls.pt,0.7475,0.7034296452901103,1190.0,190.0,305.0,315.0,0.65,0.7,9.0,1.0,4.0,6.0
17,svd_scenario_4,yolov8m-cls.pt,0.7355,0.6899032402993743,1226.0,154.0,245.0,375.0,0.65,0.7,9.0,1.0,4.0,6.0
18,svd_scenario_4,yolov8l-cls.pt,0.733,0.6845791534132615,1155.0,225.0,311.0,309.0,0.6,0.6190476190476191,8.0,2.0,4.0,6.0
19,svd_scenario_4,yolov8x-cls.pt,0.734,0.6858974358974359,1204.0,176.0,264.0,356.0,0.5,0.5,7.0,3.0,3.0,7.0
20,svd_scenario_5,yolov8n-cls.pt,0.7391959798994975,0.7002189311468652,1104.0,246.0,367.0,273.0,0.6,0.6190476190476191,8.0,2.0,4.0,6.0
21,svd_scenario_5,yolov8s-cls.pt,0.7276381909547739,0.687049886237566,1088.0,262.0,360.0,280.0,0.55,0.554945054945055,7.0,3.0,4.0,6.0
22,svd_scenario_5,yolov8m-cls.pt,0.7336683417085427,0.6939898752060278,1095.0,255.0,365.0,275.0,0.6,0.6,6.0,4.0,6.0,4.0
