,Approach/dataset,Architecture,ACC,SPE,TN,TP,FN,FP
0,patients_wise_split_svd_no_duplicities,yolov8n-cls.pt,0.7727272727272727,0.632,395.0,778.0,280.0,230.0
1,patients_wise_split_svd_no_duplicities,yolov8s-cls.pt,0.7588235294117647,0.625615763546798,381.0,780.0,294.0,228.0
2,patients_wise_split_svd_no_duplicities,yolov8m-cls.pt,0.771560236998025,0.6164772727272727,434.0,738.0,241.0,270.0
3,patients_wise_split_svd_no_duplicities,yolov8l-cls.pt,0.7987967914438503,0.6258411843876177,465.0,730.0,210.0,278.0
4,patients_wise_split_svd_no_duplicities,yolov8x-cls.pt,0.7611256544502618,0.6470588235294118,341.0,822.0,334.0,186.0
5,patients_wise_split_svd_with_duplicities,yolov8n-cls.pt,0.7379958246346555,0.6,300.0,1114.0,402.0,200.0
6,patients_wise_split_svd_with_duplicities,yolov8s-cls.pt,0.7416317991631799,0.5878378378378378,348.0,1070.0,354.0,244.0
7,patients_wise_split_svd_with_duplicities,yolov8m-cls.pt,0.7370892018779343,0.5964912280701754,306.0,1107.0,396.0,207.0
8,patients_wise_split_svd_with_duplicities,yolov8l-cls.pt,0.734375,0.5888888888888889,318.0,1092.0,384.0,222.0
9,patients_wise_split_svd_with_duplicities,yolov8x-cls.pt,0.7526315789473684,0.5941558441558441,366.0,1064.0,336.0,250.0
10,patients_wise_split_voiced,yolov8n-cls.pt,0.722488038277512,0.8888888888888888,8.0,143.0,64.0,1.0
11,patients_wise_split_voiced,yolov8s-cls.pt,0.7475728155339806,0.8125,13.0,141.0,59.0,3.0
12,patients_wise_split_voiced,yolov8m-cls.pt,0.6744186046511628,0.5555555555555556,5.0,140.0,67.0,4.0
13,patients_wise_split_voiced,yolov8l-cls.pt,0.7142857142857143,0.5882352941176471,20.0,130.0,52.0,14.0
14,patients_wise_split_voiced,yolov8x-cls.pt,0.7391304347826086,0.7368421052631579,14.0,139.0,58.0,5.0
15,segmentation_leakage_random_segment_of_each_recording_svd,yolov8n-cls.pt,1.445827232796486,0.9709302325581395,668.0,1307.0,19.0,20.0
16,segmentation_leakage_random_segment_of_each_recording_svd,yolov8s-cls.pt,1.4821693907875186,0.9926253687315634,673.0,1322.0,14.0,5.0
17,segmentation_leakage_random_segment_of_each_recording_svd,yolov8m-cls.pt,1.4932835820895523,0.9898255813953488,681.0,1320.0,6.0,7.0
18,segmentation_leakage_random_segment_of_each_recording_svd,yolov8l-cls.pt,1.4877140729709606,0.9912152269399708,677.0,1321.0,10.0,6.0
19,segmentation_leakage_random_segment_of_each_recording_svd,yolov8x-cls.pt,1.49887808526552,0.9912917271407837,683.0,1321.0,4.0,6.0
20,segmentation_leakage_random_segment_of_each_recording_voiced,yolov8n-cls.pt,1.3311688311688312,0.9655172413793104,56.0,149.0,1.0,2.0
21,segmentation_leakage_random_segment_of_each_recording_voiced,yolov8s-cls.pt,1.3774834437086092,1.0,57.0,151.0,0.0,0.0
22,segmentation_leakage_random_segment_of_each_recording_voiced,yolov8m-cls.pt,1.3774834437086092,1.0,57.0,151.0,0.0,0.0
